,date,btc_open,btc_close,btc_volume,nasdaq_close,dji_close,sp_close,oil_close,gold_close,compound,positive,negative,neutral
0,2021-02-01,33114.578125,33537.175781,61400400660,13403.3896484375,30211.900390625,3773.860107421875,53.54999923706055,1860.800048828125,0.8658,0.194,0.025,0.781
1,2021-02-02,33533.199219,35510.289063,63088585433,13612.7802734375,30687.5,3826.31005859375,54.7599983215332,1830.5,0.9153,0.265,0.026,0.709
3,2021-02-04,37475.105469,36926.066406,68838074392,13777.740234375,31055.900390625,3871.739990234375,56.22999954223633,1788.9000244140625,-0.4228,0.06,0.132,0.808
4,2021-02-05,36931.546875,38144.308594,58598066402,13856.2998046875,31148.19921875,3886.830078125,56.84999847412109,1810.9000244140625,0.9237,0.118,0.045,0.837
7,2021-02-08,38886.828125,46196.464844,101467222687,13987.6396484375,31385.80078125,3915.590087890625,57.970001220703125,1831.9000244140625,0.7269,0.102,0.047,0.851
8,2021-02-09,46184.992188,46481.105469,91809846886,14007.7001953125,31375.80078125,3911.22998046875,58.36000061035156,1835.300048828125,-0.1901,0.08,0.078,0.842
9,2021-02-10,46469.761719,44918.183594,87301089896,13972.5302734375,31437.80078125,3909.8798828125,58.68000030517578,1840.5999755859373,0.3182,0.127,0.087,0.785
10,2021-02-11,44898.710938,47909.332031,81388911810,14025.76953125,31430.69921875,3916.3798828125,58.2400016784668,1824.9000244140625,0.3384,0.162,0.096,0.742
11,2021-02-12,47877.035156,47504.851563,76555041196,14095.4697265625,31458.400390625,3934.830078125,59.470001220703125,1821.5999755859373,0.8271,0.18,0.0,0.82
15,2021-02-16,47944.457031,49199.871094,77049582886,14047.5,31522.69921875,3932.590087890625,60.04999923706055,1797.199951171875,0.8779,0.32,0.053,0.627
16,2021-02-17,49207.277344,52149.007813,80820545404,13965.490234375,31613.0,3931.330078125,61.13999938964844,1771.0999755859375,0.0,0.0,0.0,1.0
17,2021-02-18,52140.972656,51679.796875,52054723579,13865.3603515625,31493.30078125,3913.969970703125,60.52000045776367,1773.4000244140625,0.4019,1.0,0.0,0.0
18,2021-02-19,51675.980469,55888.132813,63495496918,13874.4599609375,31494.30078125,3906.7099609375,59.2400016784668,1775.800048828125,0.8126,0.125,0.053,0.822
21,2021-02-22,57532.738281,54207.320313,92052420332,13533.0498046875,31521.69921875,3876.5,61.4900016784668,1806.699951171875,0.7003,0.135,0.057,0.809
