date,btc_open,btc_close,btc_volume,nasdaq_close,dji_close,sp_close,oil_close,gold_close,compound,positive,negative,neutral,tweet
2021-02-04,37475.105469,36926.066406,68838074392,13777.740234375,31055.900390625,3871.739990234375,56.22999954223633,1788.9000244140625,-0.4228,0.06,0.132,0.808,the most entertaining outcome is the most likelyno need to begigachad to ownhigh seas amp windthis wastough onedogeur welcomeno highs no lows only dogei am become meme destroyer of shortslow key lokinext time we try pull up methodwe were too dumbsandstorm ismasterpiecemight actually happendogecoin is the peoplecrypto
2021-02-08,38886.828125,46196.464844,101467222687,13987.6396484375,31385.80078125,3915.590087890625,57.970001220703125,1831.9000244140625,0.7269,0.102,0.047,0.851,back to work tonighthodl the rainforestswho let the doge outextremely misleading image as doesnreflect true time cost to people or rain amp painso cutethe people have spokenwowdoge appears to be inflationary but is not meaningfully so fixed of coins per unit time whereas btc is arguably deflationary tofault transaction speed of doge should ideally befew orders of magnitude fasterdoes seembit highback to workgoð is for ðogecoin instructional video1 orbital launch tower that can stack 2 enough raptors for orbit booster 3 improve ship amp booster mass
2021-02-10,46469.761719,44918.183594,87301089896,13972.5302734375,31437.80078125,3909.8798828125,58.68000030517578,1840.5999755859373,0.3182,0.127,0.087,0.785,just sent somejust agree to do clubhouse withitgetting realbought some dogecoin for lilso he can betoddler hodlerhe definitely has issues but the sentencing seemsbit highplease unlock my accountthis is true power hahaany crypto wallet that wongive you your private keys should be avoided at all costsyour app sucksthanks for fixing
2021-02-11,44898.710938,47909.332031,81388911810,14025.76953125,31430.69921875,3916.3798828125,58.2400016784668,1824.9000244140625,0.3384,0.162,0.096,0.742,frodo was the underdoge all thought he would fail himself most of allhaha thanksindeed tweets definitely do not represent real world time allocationthe most entertaining outcome is the most likely
2021-02-12,47877.035156,47504.851563,76555041196,14095.4697265625,31458.400390625,3934.830078125,59.470001220703125,1821.5999755859373,0.8271,0.18,0.0,0.82,congratulations tesla china for amazing execution last year now on to the next for even moregreat interviewdoge is underestimatedian alienray tracing on cyberpunk with hdr is next level have you tried ithappy new year of the ox
2021-02-19,51675.980469,55888.132813,63495496918,13874.4599609375,31494.30078125,3906.7099609375,59.2400016784668,1775.800048828125,0.8126,0.125,0.053,0.822,teslaaction is not directly reflective of my opinion having some bitcoin which is simplyless dumb form of liquidity than cash is adventurous enough for anamp p500 companyspacex in south texas amp tesla in central have been providing direct assistance where feasible eg save cold turtles amp help power the water treatment plant please let us know if we may be helpful in other wayscongratulationssomehowhash text file using ancient crypto can be exchanged for real goods amp services amazingto be clearam not an investoram an engineerdoneven own any publicly traded stock besides tesla however when fiat currency has negative real interest onlyfool wouldnlook elsewhere bitcoin is almost as bs as fiat money the key word is almost
2021-02-22,57532.738281,54207.320313,92052420332,13533.0498046875,31521.69921875,3876.5,61.4900016784668,1806.699951171875,0.7003,0.135,0.057,0.809,most of earth by end of year all by next year then itabout densifying coverage important to note that cellular will always have the advantage in dense urban areas satellites are best for low to medium population density areasspeed will double to 300mbamp latency will drop to 20ms later this yearfinal design is looking was just in the studiohypernominalizationdojo 4 dogeof spaceflightgood chance of flying this week
2021-02-24,48835.085938,49705.332031,63695521388,13597.9697265625,31961.900390625,3925.429931640625,63.220001220703125,1796.4000244140625,0.8126,0.084,0.03,0.886,we re upgrading all nns to surround video using subnets on focal areas vs equal compute on all uncropped pixels amp many other things so more time needed to write amp validate software maybe something next week this is evolving into solvingbig part of physical world aishort term ch4 delivered amp o2 produced propellant is 78 o2 long term sabatier reaction to convert co2 h2o gt ch4 o2 using wind amp solar powerone of them may be in limited operation by end of yearinterestingthey will fly there from our launch site stationed around the worldseems likelyliterallymany steps forward some steps back yes we dolot of qa before releasingbeta versionon the actual mooni love dogs amp memespotentiallyone of the engines is suspect so we re swapping it out
2021-02-26,47180.464844,46339.761719,350967941479,13192.349609375,30932.400390625,3811.14990234375,61.5,1728.0999755859375,-0.0966,0.045,0.058,0.897,nickel is our biggest concern for scaling lithium ion cell production thatwhy we are shifting standard range cars to an iron cathode plenty of iron and lithiumhey babei hope they do it would be awesomethis is not about winning anyone over we are production limited the reason we are making our own cells is to supplement max production of suppliers even moving at full speed they cannot build enough cellsabsolutelyfremont shut down for two days parts shortages amp restarted yesterdaynothing if not discreetwe will usecatapult amp air mattresses to land on the roof then base jump offdo androids dream of electric cars
2021-03-01,45159.503906,49631.242188,53891300112,13588.830078125,31535.5,3901.820068359375,60.63999938964844,1722.5,-0.3612,0.0,0.088,0.912,doge meme shield legendary itemalways wondered where exactly your gaming character keeps all the stuffahemnew drug coming out called regretamine pop one amp all regrets are gone
2021-03-02,49612.105469,48378.988281,47530897720,13358.7900390625,31391.5,3870.2900390625,59.75,1733.0999755859375,0.7506,0.144,0.0,0.856,note buying fsd will still bebetter long term deal than subscriptionlooks familiar haha nonetheless the right move congrats to rocket labgreen eggs amp spacq2 for suretesla china team rocks2022 dogecoin is dumbscammers amp crypto should getroomhorses are even self driving
2021-03-03,48415.816406,50538.242188,53220811975,12997.75,31270.099609375,3819.719970703125,61.27999877929688,1715.300048828125,0.8334,0.079,0.019,0.902,yupindeed it wascoolcreating the city of starbase texasvery much so amp its leader shall be the dogean area much larger than boca chicafrom thence to mars and hence the starsspacethere was stillsurprisingly high usage of horses in 1940 but the trend was obviousstarship launch tomorrow window opens at 9amfirstve heard of this we ll fix the situationmfan of videogood pointyou re welcomefsd beta build v8 1 normally drives me around with no interventions next version isbig step change beyond that tesla is solvingmajor part of real world ai this is not widely knownyes beta will be offered much more widely when version 9 is done hopefully next monthok letfigure this out tomorrowm all for exciting video coverage but we also canhave the place festooned with camerasmarch 3rdsounds about right but we want to be very careful with this transition period
2021-03-10,54824.011719,56008.550781,57295577614,13068.830078125,32297.0,3898.81005859375,64.44000244140625,1721.5,-0.3469,0.067,0.07,0.863,i was just up there elevator on the other side floor is in glass coming soonyeah we talked about that internally could just have it land onbig net or bouncy castle lacks dignity but would work but optimized landing propellant is only 5 of dry mass so itnotgamechangerbattery energy density is the key to electric aircraft autonomy for aircraft could have been donelong time ago modern airliners are very close to autonomousmight just catch the ship with the launch tower same as boosterfair point if autogenous pressurization had been used ch4 bubbles would most likely have reverted to liquid helium in header was used to prevent ullage collapse from slosh which happened in prior flight my fault for approving sounded good at the timesn10 engine was low on thrust due probably to partial helium ingestion from fuel header tank impact of 10mcrushed legs amp part of skirt multiple fixes in work for sn11there were baffles but one may have acted likestraw to suck bubbles in from above liquid gas level something similar happened on an early falcon 1 flight resulting in unexpectedly high liquid oxygen residuals at main engine cutoff
2021-03-12,57821.21875,57332.089844,55689944702,13319.8603515625,32778.6015625,3943.340087890625,65.61000061035156,1719.5,-0.4939,0.0,0.097,0.903,both do mining amp use blocks amp chainsbtc bitcoin is an anagram of tbc the boring company whatcoincidencequarks amp leptonsgreen flame in this context means engine is burning internal components made of copper this is usually followed byrud rapid unscheduled disassembly
2021-03-16,55840.785156,56804.902344,59749798599,13471.5703125,32825.8984375,3962.7099609375,64.80000305175781,1730.5999755859375,0.0,0.0,0.0,1.0,420m doge
2021-03-19,57850.441406,58346.652344,49063873786,13215.240234375,32628.0,3913.10009765625,61.41999816894531,1741.4000244140625,0.7579,0.082,0.0,0.918,we will need launch tower for that hook height for the lift is 140amp both booster amp ship need to be stabilized at stage separation jointhahasometimes itabout dogefirst super heavy boosteryes booster 1 isproduction pathfinder figuring out how to build amp transport 70 meter tall stage booster 2 will flythe high bay is measured to fitcoming soonwhat would you like to talk aboutwe could talk about life the universe and everythingthe ahem reach aroundas you can seehavelong history with using tentsfloor is installed elevator is operational waiting on glass
2021-03-24,54710.488281,52774.265625,70567223787,12961.8896484375,32420.099609375,3889.139892578125,61.18000030517578,1732.9000244140625,-0.0772,0.021,0.027,0.951,pay by bitcoin capability available outside us later this yeartesla is using only internal amp open source software amp operates bitcoin nodes directly bitcoin paid to tesla will be retained as bitcoin not converted to fiat currencyyupand books hahayou can basically learn anything on youtube reddityou can now buytesla with bitcoin
2021-03-25,52726.746094,51704.160156,67999812841,12977.6796875,32619.5,3909.52001953125,58.560001373291016,1724.9000244140625,0.2023,0.177,0.154,0.669,wow shame on zdf infoyou raisegood point hahafair pointdondefy defithis comment thread isif thereeverscandal about me please call it elongatethere will be no handlesmars rover looking back
2021-03-30,57750.132813,58917.691406,54414116432,13045.3896484375,33067.0,3958.550048828125,60.54999923706055,1683.9000244140625,0.9935,0.163,0.048,0.789,more like v10 0tracking topotential 8am liftoffdemand is no problem but near term cell supply makes it hard to scale semi this limitation will be less onerous next yearat least the crater is in the right placelooks like engine 2 had issues on ascent amp didnreach operating chamber pressure during landing burn but in theory it wasnneeded something significant happened shortly after landing burn start should know what it was once we can examine the bits later todaysn15 rolls to launch pad infew days it has hundreds of design improvements across structures avionics software amp engine hopefully one of those improvements covers this problem if not then retrofit will addfew more daysnext major technology rev is at sn20 those ships will be orbit capable with heat shield amp stage separation system ascent success probability is high however sn20 vehicles will probably need many flight attempts to survive mach 25 entry heating amp land intactam donating 20m to cameron county schools amp 10m to city of brownsville for downtown revitalization details to follow next weekplease consider moving to starbase or greater brownsville south padre area in texas amp encourage friends to do so spacexhiring needs for engineers technicians builders amp essential support personnel of all kinds are growing rapidlythat would be great or possibly via video with full access to telemetryprobably most in space you could possibly feel by being inglass domeagreed we re not super far as magic valley utility can give us almost all wind power which will be used for lox 78 of propellant mass n2 argon distillation we re also aiming to increase solar power from 1mw to 10mw paired with tesla megapacks for continuous poweri sure hope sostarbase will grow by several thousand people over the next year or twobn1 ismanufacturing pathfinder so will be scrapped we learnedlot but have already changed design to bn2 goal is to get bn2 with engines on orbital pad before end of april it might even be orbit capable if we are luckya high production rate solves many ills
2021-04-08,56099.914063,58323.953125,53053855641,13829.3095703125,33503.6015625,4097.169921875,59.59999847412109,1756.800048828125,0.431,0.108,0.072,0.819,latterprobablyampbut biontech amp moderna are good too some debate imo as to whethersecond synthetic mrna shot is really needed but the first isno brainera tidal wave of vaccine is being producedthanks tesla suppliers for providing us with critical partsto be cleardo support vaccines in general amp covid vaccines specifically the science is unequivocal in very rare cases there is an allergic reaction but this is easily addressed with an epipen
2021-04-09,58326.5625,58245.003906,46655208546,13900.1904296875,33800.6015625,4128.7998046875,59.31999969482422,1743.300048828125,0.5511,0.09,0.073,0.836,looking at pups soonmonkey plays pong with his mindsurehopefully later this yearshock absorption is built into tower arms since tower is ground side it can uselot more mass to arrest booster downward momentumyeslater versions will be able to shunt signals from neuralinks in brain to neuralinks in body motor sensory neuron clusters thus enabling for example paraplegics to walk againabsolutely doable possibly as soon as neuralink device version 2 highly likely by version 3the device is implanted flush with skull amp charges wirelessly so you look amp feel totally normalfirst product will enable someone with paralysis to usesmartphone with their mind faster than someone using thumbsload points just below the grid finsyesjust one skyscraper catching another nbd hahapretty much great episodesimulation is improving rendering resolutiona monkey is literally playingvideo game telepathically usingbrain chipsoon our monkey will be on twitch amp discord hahapretty muchyeahjust read it book is accuratecongrats to nio that istough milestoneremoveit willgood piecethanks to all that helped spacexcomes with wireless charging baseball capalmost ready with fsd beta v9 0 step change improvement is massive especially for weird corner cases amp bad weather pure vision no radar
2021-04-14,63523.753906,63109.695313,77451779687,13857.83984375,33730.8984375,4124.66015625,63.150001525878906,1734.9000244140625,0.7906,0.1,0.0,0.9,true ancient times had to flip cpu registers explicitly as computer was so slowabsolutelythat was my night job day job was working on ruthenium tantalum ultracapacitors at pinnacle researchthat version of falcon 1 never flew so must be 2004 the cad looks so simplethink we were still using solidworks back thengetting theremaybe itabout how you use it69th raptor engine coming soonyeah not scalable my grad student idea was to try to use advanced chip making equipment to create high energy density capacitors accurate to molecular level
2021-04-15,63075.195313,63314.011719,60954381579,14038.759765625,34036.0,4170.419921875,63.459999084472656,1765.4000244140625,0.9769,0.146,0.029,0.825,will investigatei found some footage of the driveinsanely cutehopefully addressed this summerbutton timing of may is aspirational depends on how well limited beta of v9 0 goes butwould be surprised if wide beta aka button is later than june fsd subscription next month issure thingwhile perhaps obvious in hindsight it turns out that the only way to solve self driving is to solvebig part of real world ai that is what tesla is doing both in hardware amp software unlesscompany is good at ai with tight compute ithopeless this is insanely hardsame timingmajor improvements are being made to the vision stack every week beta button hopefully next month this ismarch of 9trying to get probability of no injury above 99 999999 of miles for city driving production autopilot is already above that for highway drivingstop in the name of loveaiming to launch next weekactually yes and red rocket truck stopsoon it will be real𖨆le petit princetesla ai autopilot engineering is awesome making excellent progress solving real world aidoge barking at the mooncertainly one of the largestcompany whose name rhymes with shmoogle is pretty far ahead butthink we re the leader in shallow minded ai hahaone of many reasons that we need to make life multiplanetaryprobably late julydoge barking at the moon miro
2021-04-27,54030.304688,55033.117188,49448222757,14090.2197265625,33984.8984375,4186.72021484375,62.93999862670898,1778.0,0.743,0.091,0.025,0.884,seems quite likely at least based on revenue in 2022 amp possibly total units in 2023starship sn15 static fire completed preparing for flight later this weektrueyesno you do nothave not sold any of my bitcoin tesla sold 10 of its holdings essentially to prove liquidity of bitcoin as an alternative to holding cash on balance sheetyeah roughly 200mw km 2 using currently available solar panels whatreally amazing is that you can store all energy needed to powercontinent overnight with 1 square kilometer of stacked tesla megapackscanget it up to orbit lol
