date,tweet
2021-02-01,feels weird helping make hopefully good version of cyberpunk come trueplease consider working at neuralink short term solve brain spine injuries long term human ai symbiosis latter will be species level important work at either at our bay area or austin locationsif you ve worked on advanced wearables phones or robots those skills are neededon clubhouse tonight at 10pm la time
2021-02-02,off twitter forwhileмы сделаемit will be filled with graffiti artneuralink is working super hard to ensure implant safety amp is in close communication with the fda if things go well we might be able to do initial human trials later this yeargiga berlin progress
2021-02-04,the most entertaining outcome is the most likelyno need to begigachad to ownhigh seas amp windthis wastough onedogeur welcomeno highs no lows only dogei am become meme destroyer of shortslow key lokinext time we try pull up methodwe were too dumbsandstorm ismasterpiecemight actually happendogecoin is the peoplecrypto
2021-02-05,yeah by default engine with least lever arm would shut down if all 3 are goodhigher isp tooit was foolish of us not to start 3 engines amp immediately shut down 1 as 2 are needed to landyesyes but engines havemin throttle point where there is flameout risk so landing on 3 engines means high thrust weight further away from hover point which is also riskyittruefranz was essentialintuitively it would seem so but turbopump fed raptors have much higher thrust amp propellant mass fraction than pressure fed gas thrusters amp they re already therewill still use hot gas maneuvering rcs thrusters as 5x more efficient than nitrogen 300 sec vs 60 sec ispthat said the ship landing burn hasclear solution my greatest concern is achieving good payload to orbit with rapid amp full reusability without which we shall forever be confined to earthdestinyyes
2021-02-06,thatdamianjustscratchthe future currency of earthmuch wowsureyeahyolthavenheard that name in yearsthe second last kingdomdogecakethe great thing about restaurants is that you get to hang out with strangers sjm
2021-02-07,lessons learnedhave you read itgreattime to tell the story of tesla amp spacexof earth and marsyesyupso itfinally come to thisitthe most fun cryptoits simplicity is its geniusnot that easy this is two decades of intense work have to look at old notes emails textstrue
2021-02-08,back to work tonighthodl the rainforestswho let the doge outextremely misleading image as doesnreflect true time cost to people or rain amp painso cutethe people have spokenwowdoge appears to be inflationary but is not meaningfully so fixed of coins per unit time whereas btc is arguably deflationary tofault transaction speed of doge should ideally befew orders of magnitude fasterdoes seembit highback to workgoð is for ðogecoin instructional video1 orbital launch tower that can stack 2 enough raptors for orbit booster 3 improve ship amp booster mass
2021-02-09,this is intended for earth but there may be some ideas that apply to mars tooeveryone at tesla receives stock my comp is all stock options whichdo not take off the table thatwhat you re missinglowest cost per ton of carbon sequestered net of value of any product made must be scalable to gigaton level aiming for maximum usefulnessxprize team will manage the 100m carbon capture prizestarlink isstaggeringly difficult technical amp economic endeavor however if we donfail the cost to end users will improve every yearspacex needs to pass throughdeep chasm of negative cash flow over the next year or so to make starlink financially viable every new satellite constellation in history has gone bankrupt we hope to be the first that does notyesonce we can predict cash flow reasonably well starlink will ipoitmeant to be the same price in all countries only difference should be taxes amp shipping
2021-02-10,just sent somejust agree to do clubhouse withitgetting realbought some dogecoin for lilso he can betoddler hodlerhe definitely has issues but the sentencing seemsbit highplease unlock my accountthis is true power hahaany crypto wallet that wongive you your private keys should be avoided at all costsyour app sucksthanks for fixing
2021-02-11,frodo was the underdoge all thought he would fail himself most of allhaha thanksindeed tweets definitely do not represent real world time allocationthe most entertaining outcome is the most likely
