,date,compound,positive,negative,neutral
0,2021-02-01,0.8658,0.194,0.025,0.781
1,2021-02-02,0.9153,0.265,0.026,0.709
2,2021-02-04,-0.4228,0.06,0.132,0.808
3,2021-02-05,0.9237,0.118,0.045,0.837
4,2021-02-06,0.6249,0.136,0.0,0.864
5,2021-02-07,0.7778,0.16,0.0,0.84
6,2021-02-08,0.7269,0.102,0.047,0.851
7,2021-02-09,-0.1901,0.08,0.078,0.842
8,2021-02-10,0.3182,0.127,0.087,0.785
9,2021-02-11,0.3384,0.162,0.096,0.742
10,2021-02-12,0.8271,0.18,0.0,0.82
11,2021-02-13,0.0258,0.093,0.091,0.816
12,2021-02-14,0.5719,0.207,0.0,0.793
13,2021-02-15,0.2782,0.096,0.075,0.829
14,2021-02-16,0.8779,0.32,0.053,0.627
15,2021-02-17,0.0,0.0,0.0,1.0
16,2021-02-18,0.4019,1.0,0.0,0.0
17,2021-02-19,0.8126,0.125,0.053,0.822
18,2021-02-20,0.5472,0.071,0.047,0.883
19,2021-02-21,0.3612,0.085,0.0,0.915
20,2021-02-22,0.7003,0.135,0.057,0.809
21,2021-02-23,0.4939,0.113,0.06,0.828
22,2021-02-24,0.8126,0.084,0.03,0.886
23,2021-02-25,0.5499,0.066,0.053,0.881
24,2021-02-26,-0.0966,0.045,0.058,0.897
25,2021-03-01,-0.3612,0.0,0.088,0.912
26,2021-03-02,0.7506,0.144,0.0,0.856
27,2021-03-03,0.8334,0.079,0.019,0.902
28,2021-03-04,0.9337,0.223,0.0,0.777
29,2021-03-05,0.3612,0.124,0.095,0.781
30,2021-03-06,0.5789,0.078,0.033,0.889
31,2021-03-07,-0.4588,0.024,0.036,0.939
32,2021-03-08,0.8302,0.27,0.133,0.597
33,2021-03-09,0.3818,0.062,0.025,0.913
34,2021-03-10,-0.3469,0.067,0.07,0.863
35,2021-03-11,0.7269,0.072,0.028,0.901
36,2021-03-12,-0.4939,0.0,0.097,0.903
37,2021-03-13,0.0762,0.121,0.095,0.784
